EXPOCODE,Cruise_ID,Sample_ID,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Latitude,Longitude,Depth,Temperature,Salinity,Salinity_flag,DIC,DIC_flag,TA,TA_flag,Silicate,Silicate_flag,Phosphate,Phosphate_flag,Nitrate,Nitrate_flag,Nitrite,Nitrite_flag,Nitrate_and_Nitrite,Nitrate_and_Nitrite_flag,Ammonium,Ammonium_flag
06SN20201204,SO279,21,2020,12,19,22:01:00,32.05166666666667,-34.35416666666667,3,21.3946,37.05892667722999,2.0,2099.216901783635,2.0,2415.7567512593246,2.0,0.5580169016365084,2.0,0.0048735100579607,2.0,0.03850072945789,2.0,0.0029241060347764,2.0,0.0414248354926665,2.0,0.0774888099215762,2.0
06SN20201204,SO279,22,2020,12,20,09:04:00,33.45194444444444,-34.61944444444445,3,21.8675,37.03465144704223,2.0,2100.34691362131,2.0,2416.8848895559554,3.0,0.5912437322913712,2.0,0.0082861858606375,2.0,0.1345286645609385,3.0,0.0497171151638251,3.0,0.1842457797247635,3.0,0.3475323834490912,3.0
06SN20201204,SO279,23,2020,12,20,16:50:00,33.45111111111111,-34.61805555555556,3,21.8565,37.07369539916185,2.0,2098.9196975252744,3.0,2417.026276490583,2.0,0.5926870426065611,2.0,-0.0024370355370335,2.0,0.1725421160219757,2.0,0.0097481421481341,2.0,0.18229025817011,2.0,0.1696176733775355,2.0
06SN20201204,SO279,24,2020,12,20,22:08:00,33.34166666666667,-34.54694444444445,3,21.6118,36.92718182577747,2.0,2097.736555109216,3.0,2413.364104256957,3.0,0.5649284104784975,2.0,0.0073114116973057,2.0,0.2510251349408336,2.0,0.0077988391437928,2.0,0.2588239740846265,2.0,0.1433036692671943,2.0
06SN20201204,SO279,25,2020,12,21,09:25:00,33.31944444444444,-34.776666666666664,3,21.6728,37.09833023419182,2.0,2103.6600089261124,2.0,2422.346901111404,2.0,0.5828988991047277,2.0,0.009747473229176,2.0,0.2670807664794237,3.0,0.0141338361823052,3.0,0.281214602661729,3.0,0.3128938906565512,3.0
06SN20201204,SO279,26,2020,12,21,11:31:00,33.20638888888889,-34.48083333333334,3,21.6387,37.08902862087022,2.0,2098.997234674328,2.0,2421.0695977301634,2.0,0.5770490220487122,2.0,0.0151085470299915,3.0,0.0760301076347965,2.0,0.007797959757415,2.0,0.0838280673922115,2.0,0.1052724567251028,2.0
06SN20201204,SO279,27,2020,12,21,21:40:00,33.30083333333333,-33.96583333333333,3,21.807,37.09317450294895,2.0,2103.212691460724,2.0,2420.3288162652298,2.0,0.5838973404230501,2.0,0.0058487212730188,2.0,0.4927547672518393,2.0,0.0014621803182546,2.0,0.4942169475700941,2.0,0.0784703437463364,2.0
06SN20201204,SO279,28,2020,12,22,10:47:00,33.60805555555556,-33.83305555555556,3,21.6066,36.99272533708695,2.0,2096.237034927857,2.0,2409.121026324072,2.0,0.584396253425631,2.0,0.0029244182823634,2.0,0.1047916551180238,2.0,0.006823642658848,3.0,0.1116152977768719,2.0,0.1501201384946575,2.0
06SN20201204,SO279,29,2020,12,22,21:17:00,33.20027777777778,-34.00055555555556,3,21.6684,37.11288736485569,2.0,2101.752873220251,2.0,2421.075304328914,2.0,0.5653466605806552,2.0,0.0082852527843716,2.0,0.033628378948332,2.0,0.0009747356216907,2.0,0.0346031145700228,2.0,0.1350008836041737,2.0
06SN20201204,SO279,30,2020,12,23,11:33:00,33.09777777777778,-30.92083333333333,3,20.7994,36.931350688881714,2.0,2115.6487455000406,2.0,2417.7882950962,2.0,0.5355638724558738,2.0,0.0024365963260048,3.0,0.0682246971281367,2.0,0.0112083430996224,2.0,0.0794330402277592,2.0,0.146683098825494,2.0
